page_url,image_url,tvshow_title,description
https://lordserials.fan/zarubezhnye-serialy/38-mandalorec-series.html,,Мандалорец,"Сериал является продолжением эпопеи ""Звёздные войны"" и описывает события спустя пять лет. Провинциал по прозвищу лорец, роль которого играет Педро Паскаль, покидает родные места чтобы возобновить свою деятельность. Его ничто не держит дома, поскольку позабытая богами родина заставила бывшего бойца элитного подразделения и потомка аристократического рода влачить жалкое существование среди нищего населения планеты. Разочарованный в деятельности официальных властей, которые довели в прошлом могущественный род, впрочем как всех лорийцев, слывущих отважными воинами до жалкого прозябания на задворках истории, герой связывается с преступной группировкой Дарта Мола и становится наёмным убийцей. Вскоре о нём начинают широко распространяться всевозможные слухи, которые доходят до элитной группы киллеров, руководитель которой Гриф делает благородному разбойнику предложение из разряда от которых не отказываются. Приключения лорийца начинаем смотреть с первой серии, продвигаясь к завершению сериала."
https://lordserials.fan/zarubezhnye-serialy/386-v-gustom-lesu.html,,В густом лесу,"Под Варшавой в лесу случайно обнаружен человеческий скелет. Исследования останков показывают, что ее смерть произошла около 20 лет назад и принадлежит одному из подростков, пропавших без вести в то время из летнего лагеря. Прокурор Павел Копинский хорошо помнит этот старый случай, когда исчезли четыре человека, в том числе его сестра. В то время ее так и не нашли."
https://lordserials.fan/zarubezhnye-serialy/104-helstrom-v1.html,,Хелстром,"Дэймону и Ане не слишком повезло с родством. Девушка и ее брат приходятся генетическими родственниками знаменитому серийному убийце. Этот человек, словно представитель Ада на земле, провел столько жутких мероприятий, заставляющих поверить в существование злобных демонов, вдохновляющих маньяков на кровавую охоту. Но наследники не собираются повторять карьеру своего величественного с точки зрения уголовного мира предка. Они старательно уничтожают правонарушителей, которые позволили поставить себя выше понятия о законе. Что помогает компаньонам добиваться поставленных задач, ежедневно делая общество ""чище""?"
https://lordserials.fan/zarubezhnye-serialy/817-geroi-vozrozhdenie.html,,Герои: Возрождение,"Сюжет будет вращаться вокруг группы людей, неожиданно обнаруживших у себя экстраординарные способности. Им предстоит столкнуться с теми, кто желает использовать их способности для своих гнусных целей..."
https://lordserials.fan/zarubezhnye-serialy/1311-rouzvud.html,,Роузвуд,"История о патологоанатоме из Майами, докторе Роузвуде. Он проводит вскрытия в своей передовой лаборатории, чтобы обнаружить улики, невидимые для департамента полиции."
https://lordserials.fan/zarubezhnye-serialy/1472-makanaj-gotovim-dlja-doma-majko.html,,Маканай: Готовим для дома майко,"Киё и её подруга детства Сумирэ переехали в Киото из Аомори, чтобы стать майко - ученицами гейши. Однако из-за своего характера и отсутствия таланта Киё не удалось пройти отбор, поэтому она готовит еду для девочек в доме майко. Тем временем Сумирэ упорно трудится, чтобы стать лучшей ученицей."
https://lordserials.fan/zarubezhnye-serialy/2304-stavka.html,,Ставка,"Японская студентка по обмену по имени Юмеко приезжает в элитную частную школу и разрушает сложившуюся иерархию благодаря своему таланту к азартным играм. Бросив вызов студсовету, она пытается отомстить за своё прошлое и изменить систему изнутри. Экранизация манги от авторов *Kakegurui*."
https://lordserials.fan/zarubezhnye-serialy/2036-vetnam-vojna-izmenivshaja-ameriku.html,,"Вьетнам. Война, изменившая Америку","Встречи старых друзей, свидетельства от первого лица и редкие кадры рисуют необычную и глубокомысленную картину того, каково это — пережить одну из самых долгих войн в истории."
https://lordserials.fan/zarubezhnye-serialy/393-belyj-vorotnichok-v1.html,,Белый воротничок,"Нил Кэффри, невероятно обаятельный преступный ум, наконец-то был пойман своим извечным врагом, агентом ФБР Питером Бёрком. Когда Нил бежит из тюрьмы, чтобы найти свою пропавшую любовь, Питер ловит его еще раз. Но Кэффри предлагает ему не торопиться с отправкой в тюрьму, и рассмотреть возможность сотрудничества. Ведь Нил мог бы помочь поймать самых “элитных” преступников, “белых воротничков” преступного мира. Питер, понимая, что интуиция и преступный опыт Нила, которых нет у законопослушного агента, могут стать хорошим подспорьем в борьбе с криминалом, соглашается."
https://lordserials.fan/zarubezhnye-serialy/1042-dolina-soblazna.html,,Долина соблазна,"Восемь историй о буднях темнокожих стриптизерш из небольшого клуба в Миссисипи. Взлеты и падения, успех и разочарования, сожаления и надежды на будущее: эти женщины творят на сцене настоящее волшебство, однако их судьбы не всегда похожи на страстный танец."
